,,Message/Text,Real/Fake,Sentiment
,,"Africa records over 200 000 COVID-19 cases
11 June 2020

The pandemic is accelerating in Africa – it took 98 days to reach 100 000 cases and only 18 days to move to 200 000 cases.

Ten out of 54 countries are currently driving the rise in numbers, accounting for nearly 80% of all the cases. More than 70% of the deaths are taking place in only five countries: Algeria, Egypt, Nigeria, South Africa and Sudan.

WHO and other partners have supported governments with scaling up health workforce and laboratory capacities and to set up points-of-entry screening at airports and border crossings. These public health and social measures have been effective in slowing the spread of COVID-19 in Africa.",Real,Fact based
,,"WHO updates masks guidance 
7 June 2020 

Speaking at the COVID-19 media briefing, the Director-General outlined what has and has not changed in WHO's updated guidance on the use of masks for the control of COVID-19. The new guidance is accompanied by a range of explanatory resources, from videos to Q&As. ",Real,Fact based
,,"Hydroxychloroquine arm of Solidarity Trial resumes 
3 June 2020

Having met on 23 May 2020, the Executive Group of the Solidarity Trial decided to implement a temporary pause of the hydroxychloroquine arm of the trial, because of concerns raised about the safety of the drug. This decision was taken as a precaution while the safety data were reviewed by the Data Safety and Monitoring Committee of the Solidarity Trial. 

On 3 June 2020, on the basis of the available mortality data, the members of the committee have recommended that there are no reasons to modify the trial protocol.

The Executive Group received this recommendation and endorsed the continuation of all arms of the Solidarity Trial, including hydroxychloroquine.

The Data Safety and Monitoring Committee will continue to closely monitor the safety of all therapeutics being tested in the Solidarity Trial.",Real,Fact based
,,"155-country survey shows severe disruption to services for noncommunicable diseases 
1 June 2020 

WHO has released a May 2020 survey, which charts the impact of COVID-19 on prevention and treatment services for noncommunicable diseases (NCDs), since the pandemic began. 

More than half (53%) of the countries surveyed have partially or completely disrupted services for hypertension treatment; 49% for treatment for diabetes and diabetes-related complications; 42% for cancer treatment, and 31% for cardiovascular emergencies. 

Rehabilitation services have been disrupted in almost two-thirds (63%) of countries, even though rehabilitation is key to a healthy recovery following severe illness from COVID-19.

In the majority (94%) of countries responding, ministry of health staff working in the area of NCDs were partially or fully reassigned to support COVID-19.

Among the countries reporting service disruptions, globally 58% of countries are now using telemedicine (advice by telephone or online means) to replace in-person consultations; in low-income countries this figure is 42%.",Real,Fact based
,,"Updated guidance on maintaining essential services 
1 June 2020

This guidance recommends practical actions that countries can take at national, subregional and local levels to reorganize and safely maintain access to high-quality, essential health services in the pandemic context. 

It also outlines sample indicators for monitoring essential health services, and describes considerations on when to stop and restart services as COVID-19 transmission recedes and surges. ",Real,Fact based
,,"WHO issues new illustrated guide on psychosocial skills for COVID-19 responders 

1 June 2020

Aimed at those on the frontlines of the COVID-19 response – from food store staff to employers to emergency responders – WHO has released illustrated advice for taking care of one’s own mental well-being, communicating with empathy, and helping people suffering from stress or severe distress.

The Guide was developed by the Inter-Agency Standing Committee’s Mental Health and Psychosocial Support Reference Group, a collaboration of UN agencies, national and international NGOs and international agencies. ",Real,Fact based
,,"Updated guidance on maintaining essential services 
1 June 2020

This guidance recommends practical actions that countries can take at national, subregional and local levels to reorganize and safely maintain access to high-quality, essential health services in the pandemic context. 

It also outlines sample indicators for monitoring essential health services, and describes considerations on when to stop and restart services as COVID-19 transmission recedes and surges. ",Real,Fact based
,,"WHO challenges misinformation about COVID-19 and smoking on World No Tobacco Day 
31 May 2020 

WHO's #TobaccoExposed campaign for World No Tobacco Day 2020 emphasises that smoking puts you at higher risk for a severe case of COVID-19. 
Amazon Web Services and Soul Machines created Florence, a WHO digital health worker to help smokers quit and combat misinformation about COVID-19 and tobacco. ",Real,Fact based
,,"WHO and Costa Rica launch landmark COVID-19 Technology Access Pool
29 May 2020

Over thirty countries and multiple international partners and institutions have signed up to support the COVID-19 Technology Access Pool (C-TAP) an initiative aimed at making vaccines, tests, treatments and other health technologies to fight COVID-19 accessible to all.

C-TAP will be voluntary and based on social solidarity. It will provide a one-stop shop for scientific knowledge, data and intellectual property to be shared equitably by the global community. 

WHO, Costa Rica and all the co-sponsor countries have also issued a “Solidarity Call to Action” asking relevant stakeholders to join and support the initiative, with recommended actions for key groups, such as governments, research and development funders, researchers, industry and civil society. 
The Director-General and Costa Rica's President also co-authored an op-ed calling for a collective and collaborative response to the coronavirus. ",Real,Fact based
,,"WHO issues updated clinical management guidance
27 May 2020

This guidance is for clinicians caring for COVID-19 patients –  including those with mild, moderate, severe, and critical disease – during all phases of their disease, from screening to discharge. 

It contains new sections on: the COVID-19 care pathway, treatment of acute and chronic infections, management of neurological and mental manifestations, noncommunicable diseases, rehabilitation, palliative care, ethical principles, and reporting of death; while previous chapters have also been significantly expanded.",Real,Fact based
,,"Release of Public Service Announcement with Gru and Minions 
27 May 2020 

WHO has partnered with UN Foundation and Illumination on a short film featuring the Minions and Gru – voiced by Steve Carell – to help people of all ages stay safe and healthy during this COVID-19 pandemic through physically distancing, being active at home and showing kindness to each other. 

The video has been produced in support of the COVID-19 Solidarity Response Fund.",Real,Fact based
,,"WHO, Gavi and UNICEF warn that disruption to routine vaccination leaves at least 80 million children at risk  

22 May 2020 

 COVID 19 is disrupting life-saving immunization services around the world, putting millions of children – in rich and poor countries alike – at risk of diseases like diphtheria, measles and polio. 

Provision of routine immunization services is substantially hindered in at least 68 countries and is likely to affect approximately 80 million children under the age of 1 living in these countries.

Since March 2020, routine childhood immunization services have been disrupted on a global scale that may be unprecedented since the inception of expanded programs on immunization (EPI) in the 1970s. 

The reasons for disrupted services vary. Some parents are reluctant to leave home because of restrictions on movement, lack of information or because they fear infection with the COVID-19 virus. And many health workers are unavailable because of restrictions on travel, or redeployment to COVID response duties, as well as a lack of protective equipment. Transport delays of vaccines are also exacerbating the situation.

Despite the challenges, several countries are making special efforts to continue immunization. Uganda is ensuring that immunization services continue along with other essential health services, even funding transportation to ensure outreach activities. And in Lao PDR, despite a national lockdown imposed in March, routine immunization in fixed sites continued with physical distancing measures in place.

",Real,Fact based
,,"147th session of the Executive Board goes virtual 
22 May 2020

The session saw Dr Harsh Vardhan, India's Minister of Health & Family Welfare, Science & Technology, Earth Sciences elected as the new WHO Executive Board chair. 

In his remarks, the Director-General briefly summarized WHO’s work on COVID-19 in seven areas: leadership, analysis, communication, supplies, expertise, research and preparedness. He also called on the global community to redouble its efforts on furthering health and development: 


",Real,Fact based
,,"WHO and UNHCR join forces to improve health services for refugees, displaced and stateless people
21 May 2020

WHO signed a new agreement with the UN Refugee Agency, with a key aim for 2020 of supporting ongoing efforts to protect some 70 million forcibly displaced people from COVID-19. Around 26 million of these people are refugees, 80 per cent of whom are sheltered in low and middle-income countries with weak health systems. Another 40 million internally displaced people also require assistance.
UNHCR also joined the COVID-19 Solidarity Response Fund, which has raised $214m to date. The Fund contributed $10 million to support UNHCR's work on urgent needs related to community engagement, hygiene and medical supplies, isolation units and global preparedness activities.",Real,Fact based
,,"WHO supports Smithsonian Science Education Center with launch of COVID-19 Guide for Youth
21 May 2020

In collaboration with WHO and the InterAcademy Partnership (IAP), the Smithsonian Science Education Center has developed a new rapid-response guide for youth ages 8–17.

“COVID-19! How can I protect myself and others"" is based on the UN Sustainable Development Goals and aims to help young people understand the science and social science of COVID-19.

Integrating inquiry-based science education with social and emotional learning and civic engagement, it looks to help them take actions to keep themselves, their families and communities safe.

The Smithsonian Science Education Center will disseminate the information to youth worldwide in collaboration with WHO, IAP, educators, and museum and research center networks. The guide is free and will be available to youth in more than 15 languages, particularly African and Asian languages.",Real,Fact based
,,"UN launches 'Verified' initiative
21 May 2020

Verified is a UN initiative to encourage us all to check the advice we share, as the world can only contain the coronavirus if every person has access to accurate, reliable information.

By promoting and sharing Verified content – marked by a double tick – everyday people can play a crucial role by giving reliable information about COVID-19 to their friends, families and social networks, with the goal of saving lives and countering misinformation.

Organisations, businesses, civil society and media platforms can partner with Verified to spread information that helps protect people, communities and forges connections across the planet.

Verified’s team of communicators, creatives and researchers produce content based on the latest information and guidance from the UN, WHO and other UN agencies. The team works with leading experts on misinformation, First Draft.

",Real,Fact based
,,"WHO releases package on rapid mortality surveillance with partners
21 May 2020

Compared with only using COVID-19 confirmed deaths as a measure of impact, rapid mortality surveillance generates daily or weekly counts of mortality data by age, sex, date of death, place of death and place of usual residence. 

This surveillance provides a more complete picture of impact, particularly for deaths that may be indirectly related to COVID-19. It also addresses the indirect impact caused by disruptions in healthcare access and supply chains. 

When policy-makers can compare estimated weekly number of excess deaths related to COVID-19 compared with pre-pandemic levels, they have a powerful tool to inform their national response and recovery planning.",Real,Fact based
,,"Day 2 of 73rd World Health Assembly
19 May 2020

At today’s meeting of the 73rd World Health Assembly —its first-ever to be held virtually—delegates adopted a landmark resolution to bring the world together to fight the COVID-19 pandemic.

The resolution, co-sponsored by more than 130 countries, was adopted by consensus.

It calls for the intensification of efforts to control the pandemic, and for equitable access to and fair distribution of all essential health technologies and products to combat the virus. It also calls for an independent and comprehensive evaluation of the global response, including, but not limited to, WHO’s performance.

As WHO convened ministers of health from almost every country in the world, the consistent message throughout the two-day meeting—including from the 14 heads of state participating in the opening and closing sessions —was that global unity is the most powerful tool to combat the outbreak. The resolution is a concrete manifestation of this call, and a roadmap for controlling the outbreak.

In his closing remarks to the Assembly, the DIrector-General outlined how WHO is fighting COVID-19 with every tool at its disposal. 

 As with the opening, leaders from around the world spoke during the closing of the Assembly. 
The World Health Assembly will reconvene later in the year.",Real,Fact based
,,"Day 1 of 73rd World Health Assembly
18 May 2020 

The first-ever virtual World Health Assembly kicked off at noon on 18 May with the 'WHO: A global response to a global pandemic' video, shown in 6 languages. 
In his remarks to the Assembly, the Director-General paid tribute to nurses, midwives and all health workers, who have been on the frontlines saving lives. He ended with a call for solidarity.
Leaders from around the world spoke during the opening of the Assembly. 
The Assembly also elected a President and five Vice-Presidents.",Real,Fact based
,,"Independent Oversight and Advisory Committee releases interim report on COVID-19 response 
18 May 2020

The Independent Oversight and Advisory Committee (IOAC) provides regular reporting on WHO’s emergencies programme. It was set up at the same time as the programme. 

The IOAC interim report notes that WHO responded more quickly than in previous emergencies and “demonstrated leadership and has made important progress in its COVID-19 response.” The report also provides recommendations for WHO and Member States on how to improve the COVID-19 response.

WHO welcomes the committee’s report, which is part of existing mechanisms to review WHO’s work and ensure a constant feedback loop to improve performance.

 ",Real,Fact based
,,"WHO Results Report launched
18 May 2020 

The Results Report provides a comprehensive picture of what WHO, its Member States and partners have achieved in the past two years. 

 

It gives updates based around three strategic priorities: 1 billion more people benefiting from universal health coverage 1 billion more people better protected from health emergencies, and 1 billion more people living with better health and well-being.

 ",Real,Fact based
,,"WHO teams up with the International Olympic Committee to improve health through sport 
16 May 2020 

WHO signed an agreement with the International Olympic Committee (IOC) to work together to promote health through sport and physical activity. This collaboration is timely because the current COVID-19 pandemic is particularly affecting people with noncommunicable diseases (NCDs). The agreement has a special focus on preventing NCDs through sport.

Other areas of collaboration include working with host countries to ensure the health of athletes, supporters and workers at the games as well as addressing NCD risk factors, including water quality and air pollution. The two institutions will also work to ensure that the games leave a healthy legacy in host countries through enhanced awareness of the value of sport and physical activity.

The two organizations also intend to work together promote grassroots and community sports programmes that have a further reach within the general public, particularly among girls, older people and people living with disability who may find it harder to keep active and healthy.",Real,Fact based
,,"Explainer of WHO and the World Health Assembly
16 May 2020 

Ahead of the first-ever virtual World Health Assembly (WHA), WHO explains what WHO is, what we do, our work to fight COVID-19, what the WHA is, how WHA will work in 2020 and why both WHO and WHA matter so much right now. 

This year, the 73rd WHA will mostly focus on the COVID-19 pandemic. Member States will deliver statements, report their progress in fighting coronavirus, share knowledge on the evolving situation and consider a draft resolution on COVID-19.",Real,Fact based
,,"Special World Health Assembly talk with Professor Devi Sridhar
16 May 2020 

Professor Devi Sridhar, Chair of Global Public Health at the University of Edinburgh, helped preview the first-ever virtual World Health Assembly (WHA). 

She presented WHA as an opportunity for countries to report on progress and what they need in the response to COVID-19. Describing science as the ""true exit strategy"", Professor Sridar also sees WHA as a chance to further develop the research and development roadmap focused on the coronavirus. 

Professor Sridhar outlined how WHO was created to respond to events like the COVID-19 pandemic, as a normative and technical agency that supports member states. She also explained the International Health Regulations, Emergency Committee and significance of declaring a Public Health Emergency of International Concern – among many other topics. ",Real,Fact based
,,"WHO and Costa Rica preview technology pooling initiative
15 May 2020 

Presidents Carlos Alvarado Quesada of Costa Rica and Sebastián Piñera of Chile joined WHO's Director-General to announce progress on a technology platform that aims to lift access barriers to effective vaccines, medicines and other health products against COVID-19.

The platform will pool data, knowledge and intellectual property for existing or new COVID-19 health products to deliver ‘global public goods’ for all people and all countries. Through the open sharing of science and data, numerous companies will be able to access the information they need to produce the technologies, thereby scaling up availability worldwide, lowering costs and increasing access. 


",Real,Fact based
,,"WHO and Costa Rica preview technology pooling initiative
15 May 2020 

Presidents Carlos Alvarado Quesada of Costa Rica and Sebastián Piñera of Chile joined WHO's Director-General to announce progress on a technology platform that aims to lift access barriers to effective vaccines, medicines and other health products against COVID-19.

The platform will pool data, knowledge and intellectual property for existing or new COVID-19 health products to deliver ‘global public goods’ for all people and all countries. Through the open sharing of science and data, numerous companies will be able to access the information they need to produce the technologies, thereby scaling up availability worldwide, lowering costs and increasing access. 


",Real,Fact based
,,"WHO scientific brief on multisystem inflammatory syndrome in children and adolescents with COVID-19
15 May 2020 

Relatively few cases of infants confirmed to have COVID-19 have been reported; those who are infected have experienced mild illness.

Recently, however, reports from Europe and North America have described clusters of children and adolescents requiring admission to intensive care units with a multisystem inflammatory condition with some features similar to those of Kawasaki disease and toxic shock syndrome. 

It is essential to characterize this syndrome and its risk factors, to understand causality, and describe treatment interventions. It is not yet clear the full spectrum of disease, and whether the geographical distribution in Europe and North America reflects a true pattern, or if the condition has simply not been recognized elsewhere.

There is therefore an urgent need for collection of standardized data describing clinical presentations, severity, outcomes, and epidemiology. WHO has developed a preliminary case definition and case report form for multisystem inflammatory disorder in children and adolescents. The case definition will be revised as more data become available. 

In addition to more detail on the above, the Scientific Brief also includes information on the preliminary case definition and Global COVID-19 Clinical Data Platform. ",Real,Fact based
,,"WHO scientific brief on multisystem inflammatory syndrome in children and adolescents with COVID-19
15 May 2020 

Relatively few cases of infants confirmed to have COVID-19 have been reported; those who are infected have experienced mild illness.

Recently, however, reports from Europe and North America have described clusters of children and adolescents requiring admission to intensive care units with a multisystem inflammatory condition with some features similar to those of Kawasaki disease and toxic shock syndrome. 

It is essential to characterize this syndrome and its risk factors, to understand causality, and describe treatment interventions. It is not yet clear the full spectrum of disease, and whether the geographical distribution in Europe and North America reflects a true pattern, or if the condition has simply not been recognized elsewhere.

There is therefore an urgent need for collection of standardized data describing clinical presentations, severity, outcomes, and epidemiology. WHO has developed a preliminary case definition and case report form for multisystem inflammatory disorder in children and adolescents. The case definition will be revised as more data become available. 

In addition to more detail on the above, the Scientific Brief also includes information on the preliminary case definition and Global COVID-19 Clinical Data Platform. ",Real,Fact based
,,"WHO Gender and COVID-19 Advocacy Brief 
14 May 2020 

The pandemic is impacting women and men differently. 

From risk of exposure and biological susceptibility to infection to the social and economic implications, individuals’ experiences are likely to vary according to their biological and gender characteristics and their interaction with other social determinants.

COVID-19 strategic plans must be grounded in strong gender analysis and ensure meaningful participation of women and girls in decision-making and implementation.

WHO calls on its Member States and all global actors to guide investments in quality and gender-sensitive research on the adverse health, social and economic impacts of COVID-19.

Countries are advised to incorporate a focus on gender into their COVID-19 responses in order to ensure that public health policies and measures to curb the pandemic account for gender and how it interacts with other inequalities.",Real,Fact based
,,"WHO Academy and WHO Info apps launch
13 May 2020

The WHO Academy app provides health workers with access to up-to the-minute guidance, tools, training, and virtual workshops that will help them care for COVID-19 patients and protect themselves. The app is built around the needs expressed by 20,000 global health workers in a WHO Academy survey.

The WHO Info app aims to inform the general public. Regarding COVID-19, the app will provide updates on the latest case numbers, WHO initiatives, partnerships and the race to find medicines and vaccines for fighting the disease.",Real,Fact based
,,"WHO Academy and WHO Info apps launch
13 May 2020

The WHO Academy app provides health workers with access to up-to the-minute guidance, tools, training, and virtual workshops that will help them care for COVID-19 patients and protect themselves. The app is built around the needs expressed by 20,000 global health workers in a WHO Academy survey.

The WHO Info app aims to inform the general public. Regarding COVID-19, the app will provide updates on the latest case numbers, WHO initiatives, partnerships and the race to find medicines and vaccines for fighting the disease.",Real,Fact based
,,"UN Policy Brief on COVID-19 and the need for action on mental health
13 May 2020

An increase in symptoms of depression and anxiety are already being reported in a number of countries in relation to the COVID-19 pandemic. A study in Ethiopia in April 2020 reported a 3-fold increase in the prevalence of symptoms of depression compared to estimates from before the epidemic.

Frontline health-care workers, women, children, adolescents, older persons and people with pre-existing mental health conditions are all at particular risk. A rise in alcohol consumption is another area of concern for mental health experts.

The increase in people in need of mental health or psychosocial support has been compounded by the interruption to mental health services in many countries. 

In concrete terms, it is critical that people living with mental health conditions have continued access to treatment. Many countries have changed their approach to the provision of this support in ways that are showing signs of success.

Support for community actions that strengthen social cohesion and reduce loneliness, particularly for the most vulnerable, must also continue.

",Real,Fact based
,,"Launch of joint campaign with UK government to counter misinformation
11 May 2020

WHO has joined forces with the UK government to run 'Stop The Spread', a global campaign to raise awareness about the risks of misinformation around COVID-19 and encourage people to double-check information with trusted sources such as WHO and national health authorities.

BBC World News and BBC.com will feature the campaign.

'Stop The Spread' will reach audiences across Africa, Asia, Europe, Middle East and Latin America. The UK government will offer a toolkit of the campaign assets to partner governments to translate and use in their countries to ensure a unified message across borders.

 ",Real,Fact based
